system:time_start,undefined
"Mar 6, 2003",0.157
"Apr 7, 2003",0.383
"May 9, 2003",0.465
"Jun 10, 2003",
"Jul 12, 2003",0.559
"Aug 13, 2003",
"Sep 14, 2003",0.211
"Oct 16, 2003",0.256
"Nov 17, 2003",0.222
"Dec 19, 2003",0.142
"Jan 1, 2004",0.166
"Feb 2, 2004",0.202
"Mar 5, 2004",0.286
"Apr 6, 2004",0.25
"May 8, 2004",0.559
"Jun 9, 2004",0.38
"Jul 11, 2004",0.15
"Aug 12, 2004",0.175
"Sep 13, 2004",0.293
"Oct 15, 2004",0.294
"Nov 16, 2004",0.227
"Dec 18, 2004",0.134
"Jan 1, 2005",0.152
"Feb 2, 2005",0.157
"Mar 6, 2005",0.203
"Apr 7, 2005",0.415
"May 9, 2005",0.549
"Jun 10, 2005",0.372
"Jul 12, 2005",0.227
"Aug 13, 2005",0.208
"Sep 14, 2005",0.301
"Oct 16, 2005",0.451
"Nov 17, 2005",0.389
"Dec 19, 2005",0.258
"Jan 1, 2006",0.27
"Feb 2, 2006",0.155
"Mar 6, 2006",0.299
"Apr 7, 2006",0.445
"May 9, 2006",0.664
"Jun 10, 2006",0.395
"Jul 12, 2006",0.201
"Aug 13, 2006",0.144
"Sep 14, 2006",0.134
"Oct 16, 2006",0.434
"Nov 17, 2006",0.272
"Dec 19, 2006",0.304
"Jan 1, 2007",0.192
"Feb 2, 2007",0.106
"Mar 6, 2007",0.21
"Apr 7, 2007",0.303
"May 9, 2007",0.615
"Jun 10, 2007",0.462
"Jul 12, 2007",0.349
"Aug 13, 2007",0.252
"Sep 14, 2007",0.218
"Oct 16, 2007",
"Nov 17, 2007",0.196
"Dec 19, 2007",0.098
"Jan 1, 2008",-0.026
"Feb 2, 2008",0.067
"Mar 5, 2008",0.203
"Apr 6, 2008",0.259
"May 8, 2008",0.536
"Jun 9, 2008",0.559
"Jul 11, 2008",0.326
"Aug 12, 2008",0.187
"Sep 13, 2008",0.36
"Oct 15, 2008",0.249
"Nov 16, 2008",0.222
"Dec 18, 2008",0.043
"Jan 1, 2009",0.021
"Feb 2, 2009",0.099
"Mar 6, 2009",0.251
"Apr 7, 2009",0.225
"May 9, 2009",0.37
"Jun 10, 2009",0.468
"Jul 12, 2009",0.217
"Aug 13, 2009",0.131
"Sep 14, 2009",0.191
"Oct 16, 2009",0.438
"Nov 17, 2009",0.358
"Dec 19, 2009",0.324
"Jan 1, 2010",0.301
"Feb 2, 2010",0.156
"Mar 6, 2010",0.287
"Apr 7, 2010",
"May 9, 2010",0.603
"Jun 10, 2010",0.413
"Jul 12, 2010",0.306
"Aug 13, 2010",0.193
"Sep 14, 2010",0.227
"Oct 16, 2010",0.365
"Nov 17, 2010",0.006
"Dec 19, 2010",0.309
"Jan 1, 2011",
"Feb 2, 2011",0.093
"Mar 6, 2011",0.248
"Apr 7, 2011",0.307
"May 9, 2011",0.675
"Jun 10, 2011",0.394
"Jul 12, 2011",0.452
"Aug 13, 2011",0.174
"Sep 14, 2011",0.189
"Oct 16, 2011",0.171
"Nov 17, 2011",0.121
"Dec 19, 2011",0.128
"Jan 1, 2012",0.123
"Feb 2, 2012",0.014
"Mar 5, 2012",0.149
"Apr 6, 2012",0.318
"May 8, 2012",0.469
"Jun 9, 2012",0.38
"Jul 11, 2012",0.296
"Aug 12, 2012",0.196
"Sep 13, 2012",0.264
"Oct 15, 2012",0.271
"Nov 16, 2012",0.121
"Dec 18, 2012",0.19
"Jan 1, 2013",0.187
"Feb 2, 2013",0.132
"Mar 6, 2013",0.359
"Apr 7, 2013",0.592
"May 9, 2013",0.523
"Jun 10, 2013",0.287
"Jul 12, 2013",0.238
"Aug 13, 2013",0.268
"Sep 14, 2013",0.269
"Oct 16, 2013",0.204
"Nov 17, 2013",0.224
"Dec 19, 2013",0.189
"Jan 1, 2014",0.189
"Feb 2, 2014",0.213
"Mar 6, 2014",0.259
"Apr 7, 2014",0.273
"May 9, 2014",0.457
"Jun 10, 2014",0.239
"Jul 12, 2014",0.187
"Aug 13, 2014",0.197
"Sep 14, 2014",0.245
"Oct 16, 2014",0.293
"Nov 17, 2014",0.176
"Dec 19, 2014",0.236
"Jan 1, 2015",0.236
"Feb 2, 2015",0.27
"Mar 6, 2015",0.364
"Apr 7, 2015",0.563
"May 9, 2015",0.736
"Jun 10, 2015",0.375
"Jul 12, 2015",0.238
"Aug 13, 2015",0.171
"Sep 14, 2015",0.221
"Oct 16, 2015",0.269
"Nov 17, 2015",0.323
"Dec 19, 2015",0.099
"Jan 1, 2016",0.266
"Feb 2, 2016",0.28
"Mar 5, 2016",0.285
"Apr 6, 2016",0.28
"May 8, 2016",0.359
"Jun 9, 2016",0.315
"Jul 11, 2016",0.316
"Aug 12, 2016",0.237
"Sep 13, 2016",0.175
"Oct 15, 2016",0.186
"Nov 16, 2016",0.169
"Dec 18, 2016",0.151
"Jan 1, 2017",0.151
"Feb 2, 2017",0.135
"Mar 6, 2017",0.241
"Apr 7, 2017",0.305
"May 9, 2017",0.366
"Jun 10, 2017",0.324
"Jul 12, 2017",0.218
"Aug 13, 2017",0.184
"Sep 14, 2017",0.143
"Oct 16, 2017",0.249
"Nov 17, 2017",0.309
"Dec 19, 2017",0.194
"Jan 1, 2018",0.194
"Feb 2, 2018",0.29
"Mar 6, 2018",0.269
"Apr 7, 2018",0.656
"May 9, 2018",0.357
"Jun 10, 2018",0.315
"Jul 12, 2018",0.309
"Aug 13, 2018",0.216
"Sep 14, 2018",0.262
"Oct 16, 2018",0.148
"Nov 17, 2018",0.216
"Dec 19, 2018",0.178
"Jan 1, 2019",0.206
"Feb 2, 2019",0.214
"Mar 6, 2019",0.224
"Apr 7, 2019",0.411
"May 9, 2019",0.351
"Jun 10, 2019",0.213
"Jul 12, 2019",0.169
"Aug 13, 2019",0.238
"Sep 14, 2019",0.168
"Oct 16, 2019",0.153
"Nov 17, 2019",0.157
"Dec 19, 2019",0.196
